price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
23500,Ankara,Çankaya,Alacaatlı,8. floor,5,Merkezi (Pay Ölçer),17,Eşyalı,1,1,1,47,42
31000,Ankara,Etimesgut,Bağlıca,High entrance,0,Kombi,4,Eşyalı Değil,2,3,1,160,150
15500,Ankara,Altındağ,Aydınlıkevler,High entrance,45,Kombi,3,Eşyalı Değil,1,2,1,100,90
16500,Ankara,Keçiören,Köşk,High entrance,20,Kombi,3,Eşyalı Değil,1,2,1,100,90
19000,Ankara,Çankaya,Malazgirt,High entrance,22,Kombi,3,Eşyalı Değil,1,3,1,100,90
20000,Ankara,Sincan,Mustafa Kemal,4. floor,3,Kombi,5,Eşyalı Değil,1,3,1,140,130
25500,Ankara,Mamak,Türközü,2. floor,10,Kombi,3,Eşyalı,1,3,1,110,105
14500,Ankara,Keçiören,Kavacık Subayevleri,High entrance,34,Kombi,2,Eşyalı Değil,1,3,1,70,61
11000,Ankara,Polatlı,Cumhuriyet,2. floor,35,Kombi,5,Eşyalı Değil,1,3,1,120,100
30000,Ankara,Çankaya,Harbiye,-2,20,Doğalgaz Sobası,3,Eşyalı,1,3,1,125,115
23500,Ankara,Yenimahalle,Yeşilevler,High entrance,12,Kombi,5,Eşyalı,1,3,1,150,135
15500,Ankara,Mamak,Tuzluçayır,3. floor,12,Kombi,4,Eşyalı Değil,1,3,1,115,100
25000,Ankara,Yenimahalle,Gazi,3. floor,1,Merkezi,4,Eşyalı,1,1,1,40,35
15000,Ankara,Polatlı,Yeni,Last floor floor,3,Merkezi,14,Eşyalı,1,2,1,100,90
28000,Ankara,Çankaya,Kazım Özalp,Entrance floor,20,Merkezi,2,Eşyalı,2,3,1,220,210
33000,Ankara,Çankaya,Emek,Entrance floor,10,Kombi,3,Eşyalı Değil,1,2,1,100,90
23000,Ankara,Çankaya,İşçi Blokları,3. floor,40,Kombi,5,Eşyalı Değil,1,2,1,99,85
16000,Ankara,Çankaya,Arka Topraklık,Entrance floor,40,Kombi,2,Eşyalı,1,2,1,80,70
18500,Ankara,Yenimahalle,Gazi,High entrance,28,Kombi,3,Eşyalı Değil,1,2,1,60,55
18000,Ankara,Çankaya,Meşrutiyet,4. floor,20,Kombi,5,,1,1,1,65,55
67500,Ankara,Çankaya,Çukurambar,3. floor,0,Merkezi (Pay Ölçer),6,Eşyalı,1,2,1,94,88
85000,Ankara,Çankaya,İlkbahar,Garden floor,5,Merkezi (Pay Ölçer),5,Eşyalı,3,4,1,232,185
20499,Ankara,Keçiören,Ayvalı,3. floor,20,Kombi,4,Eşyalı Değil,1,3,1,125,120
30000,Ankara,Keçiören,Basınevleri,7. floor,7,Kombi,11,Eşyalı Değil,2,3,1,130,120
60000,Ankara,Çankaya,Çankaya,4. floor,30,Merkezi,4,Eşyalı,2,3,1,160,140
23000,Ankara,Yenimahalle,Demetlale,Last floor floor,2,Merkezi,5,Eşyalı,1,1,0,50,45
54000,Ankara,Çankaya,Yaşamkent,2. floor,11,Merkezi (Pay Ölçer),15,Eşyalı,2,4,1,235,200
27500,Ankara,Çankaya,Yukarı Bahçelievler,-1 -1,50,Kombi,2,Eşyalı,1,1,1,60,55
25000,Ankara,Çankaya,Seyranbağları,-1,30,Kombi,3,Eşyalı,1,3,1,120,110
25000,Ankara,Yenimahalle,Yeni Batı,8. floor,30,Merkezi,9,Eşyalı,1,3,1,115,110
30000,Ankara,Yenimahalle,Güzelyaka,12. floor,0,Kombi,16,Eşyalı Değil,2,4,1,165,150
54000,Ankara,Çankaya,Kızılırmak,7. floor,8,Merkezi,8,Eşyalı Değil,2,4,1,245,220
21000,Ankara,Mamak,Yeni Bayındır,13. floor,0,Kombi,24,Eşyalı Değil,2,3,1,150,140
25500,Ankara,Mamak,Durali Alıç,5. floor,4,Kombi,9,Eşyalı Değil,2,3,1,145,135
22000,Ankara,Çankaya,Aydınlar,2. floor,25,Kombi,2,Eşyalı Değil,1,3,1,130,120
28000,Ankara,Çankaya,Harbiye,-2,10,Kombi,3,Eşyalı,1,2,1,110,100
21500,Ankara,Keçiören,Yükseltepe,Middle floor,4,Kombi,3,Eşyalı Değil,2,3,1,145,135
55000,Ankara,Çankaya,Büyükesat,Garden floor,25,Merkezi,12,Eşyalı Değil,2,4,1,160,150
22000,Ankara,Çankaya,Fakülteler,2. floor,35,Kombi,3,Eşyalı,1,3,1,120,100
17000,Ankara,Mamak,Demirlibahçe,Last floor floor,15,Kombi,4,Eşyalı Değil,1,3,1,125,110
34500,Ankara,Etimesgut,Göksu,8. floor,5,Merkezi (Pay Ölçer),16,Eşyalı Değil,2,4,1,180,150
23000,Ankara,Çankaya,Yıldızevler,High entrance,32,Kombi,4,Eşyalı Değil,1,3,1,120,110
14500,Ankara,Yenimahalle,Ergenekon,Middle floor,30,Kombi,2,Eşyalı Değil,1,2,1,110,100
